stop_loss,take_profit,ema_filter,atr_max_mult,Total Return,Final Equity,Error
25,50,50,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
25,50,50,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
25,50,50,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
25,50,50,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
25,50,100,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
25,50,100,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
25,50,100,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
25,50,100,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
25,50,200,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
25,50,200,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
25,50,200,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
25,50,200,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
25,50,500,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
25,50,500,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
25,50,500,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
25,50,500,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
25,100,50,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
25,100,50,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
25,100,50,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
25,100,50,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
25,100,100,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
25,100,100,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
25,100,100,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
25,100,100,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
25,100,200,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
25,100,200,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
25,100,200,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
25,100,200,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
25,100,500,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
25,100,500,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
25,100,500,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
25,100,500,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
25,150,50,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
25,150,50,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
25,150,50,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
25,150,50,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
25,150,100,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
25,150,100,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
25,150,100,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
25,150,100,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
25,150,200,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
25,150,200,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
25,150,200,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
25,150,200,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
25,150,500,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
25,150,500,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
25,150,500,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
25,150,500,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
25,200,50,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
25,200,50,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
25,200,50,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
25,200,50,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
25,200,100,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
25,200,100,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
25,200,100,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
25,200,100,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
25,200,200,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
25,200,200,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
25,200,200,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
25,200,200,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
25,200,500,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
25,200,500,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
25,200,500,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
25,200,500,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
50,50,50,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
50,50,50,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
50,50,50,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
50,50,50,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
50,50,100,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
50,50,100,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
50,50,100,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
50,50,100,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
50,50,200,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
50,50,200,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
50,50,200,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
50,50,200,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
50,50,500,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
50,50,500,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
50,50,500,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
50,50,500,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
50,100,50,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
50,100,50,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
50,100,50,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
50,100,50,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
50,100,100,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
50,100,100,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
50,100,100,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
50,100,100,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
50,100,200,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
50,100,200,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
50,100,200,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
50,100,200,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
50,100,500,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
50,100,500,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
50,100,500,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
50,100,500,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
50,150,50,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
50,150,50,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
50,150,50,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
50,150,50,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
50,150,100,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
50,150,100,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
50,150,100,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
50,150,100,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
50,150,200,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
50,150,200,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
50,150,200,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
50,150,200,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
50,150,500,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
50,150,500,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
50,150,500,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
50,150,500,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
50,200,50,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
50,200,50,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
50,200,50,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
50,200,50,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
50,200,100,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
50,200,100,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
50,200,100,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
50,200,100,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
50,200,200,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
50,200,200,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
50,200,200,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
50,200,200,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
50,200,500,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
50,200,500,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
50,200,500,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
50,200,500,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
75,50,50,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
75,50,50,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
75,50,50,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
75,50,50,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
75,50,100,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
75,50,100,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
75,50,100,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
75,50,100,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
75,50,200,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
75,50,200,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
75,50,200,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
75,50,200,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
75,50,500,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
75,50,500,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
75,50,500,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
75,50,500,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
75,100,50,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
75,100,50,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
75,100,50,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
75,100,50,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
75,100,100,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
75,100,100,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
75,100,100,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
75,100,100,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
75,100,200,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
75,100,200,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
75,100,200,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
75,100,200,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
75,100,500,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
75,100,500,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
75,100,500,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
75,100,500,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
75,150,50,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
75,150,50,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
75,150,50,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
75,150,50,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
75,150,100,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
75,150,100,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
75,150,100,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
75,150,100,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
75,150,200,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
75,150,200,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
75,150,200,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
75,150,200,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
75,150,500,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
75,150,500,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
75,150,500,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
75,150,500,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
75,200,50,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
75,200,50,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
75,200,50,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
75,200,50,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
75,200,100,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
75,200,100,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
75,200,100,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
75,200,100,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
75,200,200,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
75,200,200,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
75,200,200,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
75,200,200,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
75,200,500,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
75,200,500,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
75,200,500,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
75,200,500,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
100,50,50,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
100,50,50,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
100,50,50,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
100,50,50,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
100,50,100,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
100,50,100,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
100,50,100,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
100,50,100,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
100,50,200,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
100,50,200,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
100,50,200,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
100,50,200,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
100,50,500,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
100,50,500,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
100,50,500,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
100,50,500,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
100,100,50,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
100,100,50,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
100,100,50,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
100,100,50,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
100,100,100,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
100,100,100,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
100,100,100,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
100,100,100,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
100,100,200,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
100,100,200,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
100,100,200,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
100,100,200,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
100,100,500,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
100,100,500,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
100,100,500,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
100,100,500,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
100,150,50,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
100,150,50,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
100,150,50,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
100,150,50,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
100,150,100,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
100,150,100,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
100,150,100,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
100,150,100,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
100,150,200,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
100,150,200,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
100,150,200,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
100,150,200,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
100,150,500,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
100,150,500,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
100,150,500,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
100,150,500,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
100,200,50,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
100,200,50,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
100,200,50,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
100,200,50,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
100,200,100,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
100,200,100,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
100,200,100,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
100,200,100,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
100,200,200,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
100,200,200,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
100,200,200,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
100,200,200,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
100,200,500,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
100,200,500,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
100,200,500,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
